,x
253,DIAZ-BALART: Thank you.
254,(CROSSTALK)
255,"Secretary, I’ll give you 30 seconds."
256,CASTRO: Let's be very clear. The reason that they're separating these little children from their families is that they're using Section 1325 of that act which criminalizes coming across the border to incarcerate the parents and then separate them.
257,"Some of us on this stage have called to end that section, to terminate it. Some, like Congressman O'Rourke, have not. And I want to challenge all of the candidate to do that."
258,(APPLAUSE)
259,(CROSSTALK)
260,"CASTRO: I just think it’s a mistake, Beto. I think it’s a mistake. And I think that -- that if you truly want to change the system, that we’ve got to repeal that section. If not..."
261,DIAZ-BALART: Thank you.
262,(CROSSTALK)
263,CASTRO: ... then it might as well be the same policy.
264,"O'ROURKE: Let me respond to this very briefly. As a member of a Congress, I helped to introduce legislation that would ensure that we don't criminalize those who are seeking asylum and refuge in this country."
265,CASTRO: I'm not talking about -- I'm not talking about the ones that are seeking asylum.
266,"O'ROURKE: If you're fleeing -- if you're fleeing desperation, then I want to make sure..."
267,CASTRO: I'm talking about -- I'm talking about everybody else.
268,O'ROURKE: ... I want to make sure you are treated with respect.
269,CASTRO: I'm still talking about everybody else.
270,O'ROURKE: But you're looking at just one small part of this. I'm talking about a comprehensive rewrite of our immigration laws.
271,CASTRO: That's not true.
272,(APPLAUSE)
273,"O'ROURKE: And if you do that, I don't think it's asking too much for people to follow our laws when they come to this country."
274,"CASTRO: That’s actually not true. I’m talking about millions of folks -- a lot of folks that are coming are not seeking asylum. A lot of them are undocumented immigrants, right? And you said recently that the reason you didn’t want to repeal Section 1325 was because you were concerned about human trafficking and drug trafficking."
275,"But let me tell you what: Section 18, title 18 of the U.S. code, title 21 and title 22, already cover human trafficking."
276,(CROSSTALK)
277,"CASTRO: I think that you should do your homework on this issue. If you did your homework on this issue, you would know that we should repeal this section."
278,(CROSSTALK)
279,"DIAZ-BALART: This is an issue that we should and could be talking about for a long time, and we will for a long time."
280,DELANEY: Can we talk about the conditions about why people are coming here?
281,"DIAZ-BALART: Let's -- Lester -- Lester -- I'm sorry, Savannah -- I know, it's just -- we could go on."
282,"DELANEY: But rather than talk about specific provisions, we really have to talk about why these people are coming to our country..."
283,GUTHRIE: You'll get your chance.
284,DELANEY: ... and what we're going to do to actually make a difference in these countries.
285,"GUTHRIE: Congressman, you'll get your chance. Let's continue the discussion."
286,Senator Klobuchar...
287,KLOBUCHAR: Yes.
288,"GUTHRIE: Let's talk about what Secretary Castro just said. He wants to no longer have it be a crime to illegally cross the border. Do you support that? Do you think it should be a civil offense only? And if so, do you worry about potentially incentivizing people to come here?"
289,"KLOBUCHAR: Immigrants, they do not diminish America. They are America. And I am happy to look at his proposal. But I do think you want to make sure that you have provisions in place that allow you to go after traffickers and allow you to go after people who are violating the law."
290,What I really think we need to step back and talk about is the economic imperative here. And that is that 70 of our Fortune 500 companies are headed by people that came from other countries. Twenty-five percent of our U.S. Nobel laureates were born in other countries.
291,We have a situation right now where we need workers in our fields and in our factories. We need them to start small businesses. We need their ideas.
292,"And this president has literally gone backwards at a time when our economy needs immigrants. And so my proposal is to look at that 2013 bill that passed the Senate with Republican support, to upgrade that bill, to make it as good as possible and get it done. It brings the doubt down by $158 billion."
293,GUTHRIE: Senator...
294,KLOBUCHAR: It gives a path for citizenship for citizen -- for people who can become citizens. And it will be so much better for our economy in America.
295,"GUTHRIE: Senator, that's time. Thank you."
296,(APPLAUSE)
297,"Congressman Ryan, same question. Should it be a crime to illegally cross the border? Or should it be a civil offense only?"
298,"RYAN: Well, I agree with Secretary Castro. I think there are other provisions in the law that will allow you to prosecute people for coming over here if they’re dealing drugs and other things. That’s already established in the law. So there’s no need to repeat it."
299,"And I think it's abhorrent -- we're talking about this father who got killed with his daughter, and the issues here -- the way these kids are being treated. If you go to Guantanamo Bay, there are terrorists that are held that get better health care than those kids that have tried to cross the border in the United States. That needs to stop."
300,"And I think the president should immediately ask doctors and nurses to go immediately down to the border and start taking care of these kids. What kind of country are we running here where we have a president of the United States who's so focused on hate and fear and division? And what has happened now, the end result is now we've got kids literally laying in their own snot, with three-week-old diapers that haven't been changed."
301,"We've got to tell this president that is not a sign of strength, Mr. President. That is a sign of weakness."
302,(CROSSTALK)
303,(APPLAUSE)
304,"GUTHRIE: Senator Booker -- a lot of people -- they asked the question, if you’re president on day one, what will you do with the fact that you will have families here? There’s been a lot of talk about what you’ll do in the first 100 days about legislation. What will you actually do with these families? How will you care for them? Will they be detained or will they not be?"
305,"BOOKER: Well, this is a related and brief point, because what we’re talking -- what Secretary Castro and I are talking about is that we have the power to better deal with this problem through the civil process than the criminal process."
306,"I have been to some of the largest private prisons, which are repugnant to me that people are profiting off incarceration, and their immigration lockups. Our country has made so many mistakes by criminalizing things, whether it’s immigration, whether it’s mental illness, whether it’s addiction. We know that this is not the way to deal with problems. There is a humane way that affirms human rights and human dignity and actually solves this problem."
307,"Donald Trump isn’t solving this problem. We’ve seen under his leadership a surge at our border. We solve this problem by making investments in the Northern Triangle to stop the reasons why people are being driven here in the first place, and we make sure we use our resources to provide health care to affirm the values and human dignity of the people that come here, because we cannot sacrifice our values, our ideals as a nation for border security. We can have both by doing this the right way."
308,(APPLAUSE)
309,"GUTHRIE: All right, Senator, thank you. Let me go to Governor Inslee on this. What would you do on day one? Same question I just asked Cory Booker. I have yet to hear an answer from anyone on this stage."
310,INSLEE: There is no reason...
311,(CROSSTALK)
312,GUTHRIE: What will you do with the families that will be here?
313,"INSLEE: There is no reason for the detention and separation of these children. They should be released, pending their hearings, and they should have a hearing and the law should be followed. That's what should happen."
314,And we should do what we're doing in Washington state. I'm proud that we've passed a law that prevents local law enforcement from being turned into mini-ICE agents.
315,"I'm proud to have been the first governor to stand up against Donald Trump's heinous Muslim ban. I'm proud to be a person who's not only talked about Dreamers, but being one of the first to make sure that they get a college education, so that they can realize their dreams. These are some of the most inspirational people in our state."
316,"And I'll leave you with this thought, if you want to know what I think. Donald Trump the other day tried to threaten me -- he thought it was a threat -- to tell me that he would send refugees into Washington state if we passed a law that I passed. And I told him that's not a threat at all. We welcome refugees into our state. We recognize diversity as a strength. This is how we've built America. That tradition is going to continue if I'm president of the United States."
317,(APPLAUSE)
318,(CROSSTALK)
319,HOLT: We're going to switch to another topic now. We've got a lot to get to. Let's...
320,(CROSSTALK)
321,DELANEY: My grandfather was actually separated from his family when he came to this country.
322,"HOLT: We're going to -- we're going to talk about Iran right now, because we're working against the clock. Tankers have been attacked. A U.S. drone has been shot down. There have been disturbing threats issued by both the U.S. and Iranian leadership."
323,"I'd like if you can, just for a moment, to put aside how you think we may have gotten here, but what I want to know is, how do you dial it back? So a show of hands. Who as president would sign on to the 2015 nuclear deal as it was originally negotiated? That's every -- well, Senator Booker, why not?"
324,(APPLAUSE)
325,"BOOKER: May I address that? First and foremost, it was a mistake to pull out of that deal. And one of the reasons why we're seeing this hostility now is because Donald Trump is marching us to a far more dangerous situation. Literally, he took us out of a deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10, 20 years. And now we see Iran threatening to go further and who are pulled -- being pulled further and further into this crisis."
326,"We need to renegotiate and get back into a deal, but I'm not going to have a primary platform to say unilaterally I'm going to rejoin that deal. Because when I'm president of the United States, I'm going to do the best I can to secure this country and that region and make sure that if I have an opportunity to leverage a better deal, I'm going to do it."
327,(CROSSTALK)
328,"HOLT: All right, Senator Klobuchar, I'd like to ask you to answer that question, because you've said -- you've said you would negotiate yourself back into the Iranian agreement. Can you argue that that nuclear pact as it was ratified was a good deal?"
329,"(UNKNOWN): Yes, it was."
330,"KLOBUCHAR: It was imperfect, but it was a good deal for that moment. I would have worked to get longer sunset periods, and that's something we could negotiate, to get back in the deal."
331,"But the point is, Donald Trump told us when he got out of it that he was going to give us a better deal. Those were his words. And now we are a month away from the Iranians, who claim now that they're going blow the caps on enriching uranium. And the Iranians have told us this."
332,"And so that's where we are now. He has made us less safe than we were when he became president. So what I would do is negotiate us back into that agreement, is stand with our allies, and not give unlimited leverage to China and Russia, which is what he has done."
333,"And then, finally, I would make sure that if there is any possibility of a conflict -- and we're having this debate in Congress right now -- that he comes to Congress for an authorization of military force. I would do that."
334,(APPLAUSE)
335,"And this president is literally every single day 10 minutes away from going to war, one tweet away from going to war. And I don't think we should conduct..."
336,"HOLT: All right, your time is up."
337,"KLOBUCHAR: ... foreign policy in our bathrobe at 5:00 in the morning, which is what he does."
338,(APPLAUSE)
339,"HOLT: Congresswoman Gabbard, Congresswoman Gabbard, you've said you would sign back on to the 2015 deal. Would you -- would you insist, though, that it address Iran's support for Hezbollah?"
340,"GABBARD: Let's deal with the situation where we are, where this president and his chickenhawk cabinet have led us to the brink of war with Iran."
341,"I served in the war in Iraq at the height of the war in 2005, a war that took over 4,000 of my brothers and sisters in uniforms' lives. The American people need to understand that this war with Iran would be far more devastating, far more costly than anything that we ever saw in Iraq. It would take many more lives. It would exacerbate the refugee crisis."
342,"And it wouldn't be just contained within Iran. This would turn into a regional war. This is why it's so important that every one of us, every single American, stand up and say no war with Iran. We need to get back into the Iran nuclear agreement, and we need to negotiate how we can improve it."
343,(APPLAUSE)
344,"It was an imperfect deal. There are issues, like their missile development, that needs to be addressed. We can do both simultaneously to prevent Iran from developing a nuclear weapon and preventing us from going to war."
345,HOLT: Your time is up. And this is a very quick follow-up. But what would your red line be that would -- for military action against Iran?
346,"GABBARD: Look, obviously, if there was an attack against the American -- our troops, then there would have to be a response. But my point is -- and it's important for us to recognize this -- is Donald Trump and his cabinet, Mike Pompeo, John Bolton, and others -- are creating a situation that just a spark would light off a war with Iran, which is incredibly dangerous. That's why we need to de-escalate tensions. Trump needs to get back into the Iran nuclear deal and swallow his pride, put the American people first."
347,(APPLAUSE)
348,"DE BLASIO: Hey, but wait a minute..."
349,(CROSSTALK)
350,"GUTHRIE: ... we will have much more -- Mayor De Blasio, we'll have more. The commercial is coming, when we'll continue our questioning next with Chuck Todd, Rachel Maddow. Stick around. We'll have a lot more with some very anxious candidates, just ahead."
351,(COMMERCIAL BREAK)
352,"HOLT: And welcome back, everyone, to the first Democratic presidential debate from the Arsht Center in Miami."
353,"GUTHRIE: And as we continue the questioning, time to get more members of our team in the mix."
354,"DIAZ-BALART: So right now, let's turn it over to Chuck Todd and Rachel Maddow. Take it away."
355,(APPLAUSE)
356,"MADDOW: All right. We're going to start by recapping the rules. Twenty candidates qualified for this first Democratic debate. We're going to hear from 10 tonight, 10 more tomorrow. The breakdown for each night was selected at random. Now, the candidates will have 60 seconds to answer, 30 seconds for a follow-up if necessary, and we will be ruthless, if necessary."
357,TODD: We can do that.
358,(LAUGHTER)
359,"By the way, hi, Rachel."
360,"MADDOW: Hi, Chuck."
361,TODD: How are you doing?
362,MADDOW: Good.
363,"TODD: And we’ve got a lot of ground to cover. We’re going to be talking about guns and climate here up top. A whole lot more in this hour. Obviously, because of the size of the field, not every person will be able to weigh in on everything, but over the course of this next hour, we will hear from everyone, I promise, everybody."
364,"TODD: And to begin with, we're going to go with guns, and, Senator Warren, I want to start with you. We are less than 50 miles from Parkland, Florida, where 17 people were killed in a school shooting last year and where there has been significant activism on gun violence ever since. Many of you are calling for a restoration of an assault weapons ban, but even if implemented, there will still be hundreds of millions of guns in this country. Should there be a role for the federal government?"
365,(UNKNOWN): Their mikes are on.
366,"TODD: Everybody's mikes are on. I think we have a -- I heard that, too. That's OK. I think we had a little mike issue in the back."
367,"MADDOW: Control room, we've got..."
368,(CROSSTALK)
369,"TODD: We had the -- I think we heard -- yeah, we have the audience audio. All right."
370,"So the question is simply this. We're from -- I apologize you guys didn't get to hear this, the first part of the question. Obviously, we're not far from Parkland, Florida. Gun activism has become a big part of high school life up there in Broward County."
371,"Many of you are calling for tighter gun restrictions. Some of you are calling for the restoration of the assault weapons ban. But even if it's put in place, there are still going to be perhaps hundreds of millions of guns still on the streets. Is there a role for the federal government in order to -- to play in order to get these guns off the streets?"
372,(CROSSTALK)
373,MADDOW: What's happening?
374,TODD: We are hearing our colleague's audio. If the control room could turn off the mikes...
375,(LAUGHTER)
376,(CROSSTALK)
377,"TODD: Yeah, if the control room could turn off the mikes of our previous moderators, we will..."
378,"MADDOW: You know, we've prepared for everything."
379,"TODD: Guess what, guys? We are going to take a quick break. We're going to get this technical situation fixed. We will be right back."
380,(COMMERCIAL BREAK)
381,TODD: We believe we have the technical difficulties fixed.
382,MADDOW: Never say that.
383,TODD: Never say never. But we will march forward here and I will lean forward here a little bit.
384,"Senator Warren, we're going to get to the gun question here. In Parkland, Florida, it's just north of here in Broward County. As you know, it has created a lot of teenage activism on the gun issue. It has inspired a lot of you to come out with more robust plans to deal with guns, including assault weapons ban, but even if you're able to implement that, what do you do about the hundreds of millions of guns already out there? And does the federal government have to play a role in dealing with it?"
385,"WARREN: So, in this period of time that I have been running for president, I've had more than 100 town halls. I've taken more than 2,000 unfiltered questions. And the single hardest questions I've gotten, I got one from a little boy and I got one from a little girl, and that is to say, when you're president, how are you going to keep us safe?"
386,"That's our responsibility as adults. Seven children will die today from gun violence, children and teenagers. And they won't just die in mass shootings. They'll die on sidewalks, they'll die in playgrounds, they'll die in people's backyards."
387,Gun violence is a national health emergency in this country. And we need to treat it like that.
388,(APPLAUSE)
389,"So what can we do? We can do the things that are sensible. We can do the universal background checks. We can ban the weapons of war. But we can also double down on the research and find out what really works, where it is that we can make the differences at the margins that will keep our children safe. We need to treat this like the virus that's killing our children."
390,"TODD: OK, thank you, Senator Warren. You didn't address -- do you think the federal government needs to go and figure out a way to get the guns that are already out there?"
391,"WARREN: What I think we need to do is we need to treat it like a serious research problem, which we have not done. You know, guns in the hands of a collector who's had them for decades, who's never fired them, who takes safety seriously, that's very different from guns that are sold and turned over quickly."
392,"We can't treat this as an across-the-board problem. We have to treat it like a public health emergency. That means bring data to bear and it means make real change in this country, whether it's politically popular or not."
393,"TODD: Thank you, Senator. Senator Booker, you have a program..."
394,WARREN: We need to fight for our children.
395,(APPLAUSE)
396,"TODD: Senator Booker, you have a federal government buyback program in your plan. How is that going to work?"
397,"BOOKER: Well, first of all, I want to say, my colleague and I both have been hearing this on the campaign trail. But what's even worse is I hear gunshots in my neighborhood. I think I'm the only one -- I hope I'm the only one on this panel here that had seven people shot in their neighborhood just last week. Someone I knew, Shahad Smith, was killed with an assault rifle at the top of my block last year."
398,"For millions of Americans, this is not a policy issue. This is an urgency. And for those that have not been directly affected, they're tired of living in country where their kids go to school to learn about reading, writing, and arithmetic, and how to deal with an active shooter in their school."
399,"This is something that I'm tired of. And I'm tired of hearing people all, they have to offer is thoughts and prayers."
400,(APPLAUSE)
401,"In my faith, people say faith without works is dead. So we will find a way. But the reason we have a problem right now is we've let the corporate gun lobby frame this debate. It is time that we have bold actions and a bold agenda. I will get that done as president of the United States because this is not about policy. This is personal."
402,"TODD: Thank you, Senator Booker."
403,"MADDOW: Secretary Castro, I'd like to talk to you about something that Senator Booker just mentioned there, the idea of active shooter drills in schools, as school shootings seem like an almost everyday or every week occurrence now. They don't make a complete news cycle anymore, no matter the death toll."
404,"As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings. Is this a problem that is going to continue to get worse over our lifetimes? Or is there something that you would do as president that you really think would turn it around?"
405,"CASTRO: You know, Rachel, I am the dad of a 10-year-old girl, Carina, who's here tonight. And the worst thing is knowing that your child might be worried about what could happen at school, a place that's supposed to be safe."
406,"The answer to your question is no. We don't have to accept that. And I believe that, on January 20, 2021, at 12:01 p.m., we're going to have a Democratic president, a Democratic House, and a Democratic Senate."
407,(APPLAUSE)
408,"And the activists of Parkland, folks from Moms Demand who have risen up across the United States and inspired so many people..."
409,(APPLAUSE)
410,"... you know, we may not have seen yet legislative action, but we're getting closer. The House took a vote. In the Senate, the question often is, if the decision is between 60 votes, a filibuster, or passing commonsense gun reform, I'm going to choose commonsense gun reform. So I believe that we're going to be able to get that done in 2021."
411,"TODD: Secretary Castro, thank you."
412,"RYAN: Rachel, I have something to add to this briefly, because..."
413,MADDOW: We'll give you -- it'll be 30 seconds for a follow-up on that question -- on that answer from Secretary Castro. Congressman Ryan?
414,RYAN: You're talking about in the schools. These kids are traumatized. I support all the gun reforms here. We need to start dealing with the trauma that our kids have. We need trauma-based care in every school. We need social and emotional learning in every school.
415,"Ninety percent of the shooters who do school shootings come from the school they're in, and 73 percent of them feel shamed, traumatized, or bullied. We need to make sure that these kids feel connected to the school. That means a mental health counselor in every single school in the United States. We need to start playing offense. If our kids are so traumatized that they're getting a gun and going into our schools, we're doing something wrong, too, and we need reform around trauma-based care."
416,"MADDOW: Thank you, Congressman Ryan."
417,"TODD: Congressman O'Rourke, you're a Texan who's campaigned -- you campaigned all over the state in 2018 in the most conservative parts there. What do you tell a gun owner who may agree with you on everything else, OK, but says, you know what, the Democrats, if I vote for them in there, they're going to take my gun away, and even though I agree with you on all these other issues -- how do you have that conversation?"
418,"O'ROURKE: Here's how we have that conversation in Texas. I shared with them what I learned from those students who survived the Santa Fe high school shooting, a young student named Bree. Her friend, Marcel, who survived another shooting, the mother of a victim who lost her life, Rhonda Hart, they talked about universal background checks, where you close every loophole. We know that they save lives."
419,We talked about ending the sales of assault weapons into our communities. Those weapons of war were designed to kill people as effectively and as efficiently as possible. They should belong on the battlefield and not in our communities.
420,(APPLAUSE)
421,"Red flag laws, so if someone poses a danger to themselves or to someone else, they're stopped before it's too late. And what I found in each one of those 254 counties is that Democrats and independents and Republicans, gun-owners and non-gun-owners alike, agreed."
422,"But this effort must be led by the young people that you referenced at the beginning of this issue. Those students from Marjory Stoneman Douglas led the charge here in Florida, and they've been able to change those laws. They're making our democracy work, ensuring that our values and our interests and our priorities are reflected in the laws that we pass."
423,(CROSSTALK)
424,"TODD: Thank you, Congressman O'Rourke."
425,(CROSSTALK)
426,"Hang on. Let me give 30 seconds, Senator Klobuchar, the iron range. I'm curious. Gun confiscation, right? If the government is buying back, how do you not have that conversation?"
427,"KLOBUCHAR: Well, that's not confiscation. You could give them the offer to buy back their gun."
428,"But I'll say this. I look at these proposals and I say, does this hurt my Uncle Dick and his deer stand, coming from a proud hunting and fishing state? These proposals don't do that."
429,"When I was a prosecutor, I supported the assault weapons ban. When I was in the Senate, I saw those moms from Sandy Hook come and try to advocate for change, and we all failed. And then now these Parkland kids from Florida, they started literally a national shift."
430,"You know why? It’s just like with gay marriage. When kids talked to their parents and their grandparents, they say I don’t understand why we can’t put these sensible things in place, they listen. And if we get bested by a bunch of 17-year-olds..."
431,"TODD: All right, Senator, thank you."
432,KLOBUCHAR: ... it's the best thing that ever happened. We need to get...
433,(CROSSTALK)
434,"TODD: Senator, thank you. Senator, thank you."
435,"MADDOW: Senator Booker, let me go to you on another matter actually."
436,TODD: We've got to...
437,"MADDOW: Senator Mitch McConnell says that his most consequential achievement as Senate majority leader was preventing President Obama from filling a Supreme Court seat. Having served with Republicans on the Judiciary Committee, do you believe they would confirm your court nominees?"
438,"BOOKER: I'm going to use 20 of my seconds just to say there's one thing we don't all agree with when it comes to guns, and I think it's common sense, and over 70 percent of Americans agree with me. If you need a license to drive a car, you should need a license to buy and own a firearm."
439,(APPLAUSE)
440,"And not everybody in this field agrees with that. But in states like Connecticut that did that, they saw 40 percent drops in gun violence and 15 percent drops in suicides. We need to start having bold agendas on guns."
441,"When it comes to the Supreme Court, very clearly, we -- I agree with my friend, Secretary Castro. We are going to get to 50 votes in the Senate. This is a team sport. Whoever is our nominee needs to campaign in places like South Carolina, because we can elect Jamie Harrison. They need to campaign in places like Iowa, because we can win a Senate seat there."
442,"This is about getting us back to having 50 votes in the Senate and more so that we cannot only balance the Supreme Court, but start to pass an aggressive agenda that, frankly, isn't so aggressive, because most of America agrees with the policy objectives of our party."
443,(APPLAUSE)
444,MADDOW: Mayor De Blasio...
445,(CROSSTALK)
446,"DELANEY: Rachel, we have to actually..."
447,"MADDOW: Congressman Delaney, you'll have some time in a moment on this issue."
448,(CROSSTALK)
449,DELANEY: This issue is related...
450,(CROSSTALK)
451,"MADDOW: Congressman Delaney, I'll give you some time in a moment. Mayor De Blasio, as an executive in the largest city in this country, you are used to saying what you want to have happen and having it happen. If you nominate a Supreme Court nominee as president of the United States and Mitch McConnell is still Senate majority leader, what makes you believe that he would allow you to make a nominee?"
452,"DE BLASIO: Rachel, I am chief executive of the nation's largest city, and I also wanted to just say something quick on the gun issue and come to your question."
453,"Look, I run the largest police force in America, too, and if we're going to stop these shootings, we want to get these guns off the street, we have to have a very different relationship between our police and our community."
454,(APPLAUSE)
455,"I also want to say there's something that sets me apart from all my colleagues running in this race, and that is, for the last 21 years, I have been raising a black son in America. And I have had to have very, very serious talks with my son, Dante, about how to protect himself on the streets of our city and all over this country, including how to deal with the fact that he has to take special caution because there have been too many tragedies between our young men and our police, too, as we saw recently in Indiana."
456,"So we need to have a different conversation in this country about guns, but also a different conversation about policing that brings policing community together. We've done that in New York City and we've driven down crime while we've done it."
457,"But to your question about Mitch McConnell, there is a political solution that we have to come to grips with. If the Democratic Party would stop acting like the party of the elites and be the party of working people again, and go into states, including red states, to convince people we're on their side, we can put pressure on their senators to actually have to vote for the nominees that are put forward..."
458,(CROSSTALK)
459,MADDOW: That's time.
460,(CROSSTALK)
461,"TODD: Senator Warren -- I'm going to get you -- I will get you 30 seconds, I promise. Let me get -- let me get this question. We're trying. I know you guys -- we've got other issues we're trying to get to, including a big one coming up in a minute. But, Senator Warren, I want to continue on the Mitch McConnell thing, because you have a lot of ambitious plans."
462,WARREN: I do.
463,"TODD: You have a plan for that. OK. We talked about the Supreme Court. Do you have a plan to deal with Mitch McConnell if you don't beat him in the Senate, if he's still sitting there as the Senate majority leader? It's very plausible you be elected president with a Republican Senate. Do you have a plan to deal with Mitch McConnell?"
464,WARREN: I do.
465,(APPLAUSE)
466,"We are democracy. And the way a democracy is supposed to work is the will of the people matters. Now, we have for far too long have had a Congress in Washington that has just completely dismissed what people care about across this country."
467,"They have made this country work much better than for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers, and not made it work for the people."
468,"Well, here's how I see this happening. Number one, sure, I want to see us get a Democratic majority in the Senate. But short of a Democratic majority in the Senate, you better understand the fight still goes on. It starts in the White House, and it means that everybody we energize in 2020 stays on the frontlines come January 2021. We have to push from the outside, have leadership from the inside, and make this Congress reflect the will of the people."
469,TODD: I'm going to get to -- I'm going to get a couple of you in here.
470,(APPLAUSE)
471,"I'm going to get a couple of you in here. Thirty seconds, Congressman Delaney, you seem to believe you can do everything in a bipartisan manner. Mitch McConnell doesn't operate that way. He operates differently. Why do you think he is going to conform to your style?"
472,DELANEY: I think we need to get things done. That's why I believe we need to operate in a bipartisan manner.
473,"Listen, I will sign into law bills that come to the White House that are passed on a party-line basis, absolutely. But all the big transformative things we've ever done in this country's history have happened when huge majorities of the American people get behind them, which is why we need real solutions, not impossible promises."
474,"We need to put forth ideas that work, whether it's on health care, creating universal health care so that every American gets health care, but not running on making private insurance illegal."
475,"The gun issue is related. The gun safety issue is related, because I can't tell you how many times I've been with folks in Western Maryland, and they've said to me, you know, Democrats don't do anything for us, Republicans don't do anything for us. You fight all the time, so they vote on that single issue."
476,TODD: OK.
477,(CROSSTALK)
478,"DELANEY: If we become the party of getting things done for the American people, with real solutions and not impossible promises, we'll be able to get all these things done."
479,(CROSSTALK)
480,TODD: I promised...
481,(CROSSTALK)
482,"TODD: Senator Booker, 30 seconds. You -- how do you deal with Mitch? You've been in the Senate. You can't get bills on the floor right now with Mitch McConnell. Presidents can't do it. Is President Booker going to get his bills on the floor with Senator McConnell?"
483,"BOOKER: You know, when I got to the United States Senate, going back to what De Blasio said, as an African-American man in an African-American-dominated community, I knew one of the biggest issue was criminal justice reform, from police accountability to dealing with the fact that we have a nation that has more African-Americans under criminal supervision than all the slaves in 1850."
484,"And when I got to the Senate, people told me we could not get a comprehensive criminal justice reform bill done. As my colleagues in the Senate know, I fought on that bill from the day I got to the Senate, built coalitions across the aisle, and today we passed the First Step Act."
485,(APPLAUSE)
486,"It's not as far as I want to go, but thousands of people will be liberated. I have gotten -- I have taken on tough problems people said we cannot achieve, and I've been able to get things accomplished."
487,"TODD: Thank you, Senator Booker. Rachel has got the next question."
488,(CROSSTALK)
489,"MADDOW: We are going to -- hold on. Governor, you're going to be happy with where we go."
490,TODD: Just give us a second.
491,"MADDOW: Governor Inslee, the next question is to you. You got me?"
492,INSLEE: Rachel.
493,(LAUGHTER)
494,"MADDOW: You have staked your candidacy on the issue of climate change. It is first, second, and third priority for you. You've said it's all the issues."
495,"Let's get specific. We're here in Miami, which is already experiencing serious flooding on sunny days as a result of sea level rise. Parts of Miami Beach and the Keys could be underwater in our lifetimes. Does your plan save Miami?"
496,"INSLEE: Yes, first by taking away the filibuster from Mitch McConnell, to start with. We have to do that."
497,(APPLAUSE)
498,"Look it, look it, we are the first generation to feel the sting of climate change, and we are the last that can do something it. Our towns are burning. Our fields are flooding. Miami is inundated."
499,"And we have to understand, this is a climate crisis, an emergency (OFF-MIKE) this is our last chance in the administration, next one, to do something about it. And we need to do what I've done in my state. We've passed a 100 percent clean electrical grid bill. We now have a vision statement. And my plan has been called the gold standard of putting people to work."
500,"But the most important thing on this, in the biggest decision for the American public is, who is going to make this the first priority? And I am the candidate and the only one who's saying this has to be the top priority of the United States, the organizing principle to mobilize the United States, so that we can do what we've always done, lead the world and invent the future and put 8 million people to work. That's what we're going to do."
501,"MADDOW: Governor Inslee, thank you."
502,(APPLAUSE)
503,"TODD: Congressman O'Rourke, you also put out a big climate change plan from your campaign. You want some big changes in a pretty short period of time, including switching to renewable energy, pushing to replace gas-powered cars in favor of electric ones."
504,"What's your message to a voter who supports the overall goal of what you're trying to do, but suddenly feels as if government's telling them how to live and ordering them how to live? What is that balance like?"
505,"O'ROURKE: I think you've got to bring everybody in to the decisions and the solutions to the challenges that we face. That's why we're traveling everywhere, listening to everyone."
506,"We were in Pacific Junction, a town that had never meaningly flooded before, just up against the Missouri River in Iowa. And every home in that community had flooded. There were farms just outside of Pacific Junction that were effectively lakes, those farmers already underwater in debt, their markets closed to them by a trade war under this administration, and now they don't know what to do."
507,"We in our administration are going fund resiliency in those communities, in Miami, in Houston, Texas, those places that are on the front lines of climate change today. We're going to mobilize $5 trillion in this economy over the next 10 years. We're going to free ourselves from a dependence on fossil fuels, and we're going to put farmers and ranchers in the driver's seat, renewable and sustainable agriculture, to make sure that we capture more carbon out of the air and keep more of it in the soil, paying farmers for the environmental services that they want to provide."
508,"If all of us does all that we can, then we’re going to be able to keep this planet from warming another 2 degrees Celsius, and ensure that we match what this country can do and live up to our promise and our potential."
509,"TODD: Thirty seconds, Secretary Castro, does -- who pays for the mitigation to -- to climate, whether it's building sea walls, for people that are perhaps living in places that they shouldn't be living? Is this a federal government issue that needs to do that? Do they have to move these people? What do you do about that, where maybe they're building a place someplace that isn't safe? Who pays to build that house? And how much should the government be bailing them out?"
510,"CASTRO: Well, I don't think that that represents the vast majority of the issue. In fact, you know, my first visit after I announced my candidacy wasn't to Iowa or New Hampshire. It was to San Juan, Puerto Rico."
511,(APPLAUSE)
512,"Because people should know that if I'm elected president, everybody will count. And, you know, I'm one of the few candidates in this race with executive experience, with a track record of getting things done. When I was mayor of San Antonio, we moved our local public utility, we began to shift it from coal-fired plants to solar and other renewables, and also created more than 800 jobs doing that."
513,"And when I was HUD secretary, we worked on the National Disaster Resilience Competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way. That's the way that we're going to help make sure that we're all safer in the years to come and that we combat climate change."
514,TODD: Thank you.
515,"CASTRO: And if I'm elected president, the first thing that I would do, like Senator Klobuchar also has said, is sign an executive order recommitting us to the Paris Climate Accord so that we lead again..."
516,(CROSSTALK)
