"","x"
"290","DIAZ-BALART: Governor, day one, thousands of men, women and children cross the border, asking for asylum, for a better life. What do you do?"
"291","One -- day one, hour one?"
"292","HICKENLOOPER: Well, certainly the images we have seen this week just compound the emotional impact that the world is judging us by. If you’d ever told me any time in my life that this country would sanction federal agents to take children from the arms of their parents, put them in cages, actually put them up for adoption -- in Colorado, we call that kidnapping -- I would have told you..."
"293","(APPLAUSE)"
"294","I would have told you it was unbelievable. And the first thing we have to do is recognize the humanitarian crisis on the border for what it is. We make sure that there are the sufficient facilities in place so that women and children are not separated from their families, that children are with their families."
"295","We have to make sure that ICE is completely reformed and they begin looking at their job in a humanitarian way, where they're addressing the whole needs of the people that they are engaged with along the border, and we have to make sure ultimately that we provide not just shelter, but food, clothing, and access to medical care."
"296","DIAZ-BALART: Ms. Williamson?"
"297","WILLIAMSON: Yes. What Donald Trump has done to these children -- and it's not just in Colorado -- Governor, you're right, it is kidnapping, and it's extremely important for us to realize that. If you forcibly take a child from their parents' arms, you are kidnapping them."
"298","And if you take a lot of children and you put them in a detainment center, that's inflicting chronic trauma upon them. That's called child abuse. This is collective child abuse."
"299","(APPLAUSE)"
"300","And when this is crime -- both of those things are a crime. And if your government does it, that doesn't make it less of a crime. These are state-sponsored crimes."
"301","(APPLAUSE)"
"302","DIAZ-BALART: Congressman..."
"303","WILLIAMSON: And what President -- and what President Trump has done is not only attack these children, not only demonize these immigrants, he is attacking a basic principle of America's moral core. We open our hearts to the stranger."
"304","This is extremely important. And it’s also important for all of us. Remember, and I have great respect for everyone who is on this stage. But we’re going to talk about what to do about health care? Well, where have you been, guys? Because it’s not just a matter of a plan. And I haven’t heard anybody on this stage who has talked about American foreign policy in Latin America and how we might have in the last few decades contributed to..."
"305","(APPLAUSE)"
"306","(CROSSTALK)"
"307","DIAZ-BALART: Senator Gillibrand, what would you do as president, with a reality?"
"308","GILLIBRAND: Well, one of the worst things about President Trump that he’s done to this country is he’s torn apart the moral fabric of who we are. When he started separating children at the border from their parents, the fact that seven children have died in his custody, the fact that dozens of children have been separated from their parents and they have no plan to reunite them."
"309","So I would do a few things. First, I would fight for comprehensive immigration reform with a pathway to citizenship. Second, I would reform how we treat asylum-seekers at the border. I would have a community-based treatment center, where we're doing it within the communities, where asylum-seekers are given lawyers, where there's real immigration judges, not employees of the attorney general, but appointed for life, and have a community-based system. I would fund border security."
"310","But the worst thing President Trump has done is he's diverted the funds away from cross-border terrorism, cross-border human trafficking, drug trafficking, and gun trafficking, and he's given that money to the for-profit prisons. I would not be spending money in for-profit prisons to lock up children and asylum-seekers."
"311","(APPLAUSE)"
"312","DIAZ-BALART: We had a very spirited debate on this stage last night on the topic of decriminalization of the border. If you’d be so kind, raise your hand if you think it should be a civil offense rather than a crime to cross the border without documentation? Can we keep the hands up so we could see them?"
"313","(APPLAUSE)"
"314","BUTTIGIEG: Let's remember, that's not just a theoretical exercise. That criminalization, that is the basis for family separation. You do away with that, it's no longer possible. Of course it wouldn't be possible anyway in my presidency, because it is dead wrong."
"315","We've got to talk about one other thing, because the Republican Party likes to cloak itself in the language of religion. Now, our party doesn't talk about that as much, largely for a very good reason, which was, we are committed to the separation of church and state and we stand for people of any religion and people of no religion."
"316","But we should call out hypocrisy when we see it. And for a party that associates itself with Christianity, to say that it is OK to suggest that God would smile on the division of families at the hands of federal agents, that God would condone putting children in cages has lost all claim to ever use religious language again."
"317","(APPLAUSE)"
"318","DIAZ-BALART: Vice President -- Mr. Vice President, I don’t know if you raised your hand or were just asking to speak, but would you decriminalize crossing the border without documents?"
"319","BIDEN: The first thing -- the first thing I would do is unite families. I'd surge immediately billions of dollars' worth of help to the region immediately."
"320","Look, I talk about foreign policy. I'm the guy that got a bipartisan agreement at the very end of the campaign, at the very end of our term, to spend $740 million to deal with the problem, and that was to go to the root cause of why people are leaving in the first place. It was working."
"321","We saw, as you know, a net decrease in the number of children who were coming. The crisis was abated. And along came this president, and he said -- he immediately discontinued that."
"322","We all talk about these things. I did it. I did it."
"323","(APPLAUSE)"
"324","Seven hundred and forty -- now look, second thing. Second thing we have to do. The law now requires the reuniting of those families. We would reunite those families, period. And if not, we'd put those children in a circumstance where they were safe until we could find their parents."
"325","And lastly, the idea that he's in court with his Justice Department saying children in cages do not need a bed, do not need a blanket, do not need a toothbrush, that is outrageous."
"326","DIAZ-BALART: Vice President -- Vice President..."
"327","BIDEN: And we'll stop it."
"328","DIAZ-BALART: ... the Obama-Biden administration was -- the Obama-Biden administration deported more than 3 million Americans. My question to you is, if an individual is living in the United States of America without documents, and that is his only offense, should that person be deported?"
"329","(UNKNOWN): No."
"330","BIDEN: Depending if they committed a major crime, they should be deported. And the president was left in a -- President Obama I think did a heck of a job. To compare him to what this guy is doing is absolutely I find immoral."
"331","(APPLAUSE)"
"332","But the fact is that, look, we should not be locking people up. We should be making sure we change the circumstance, as we did, why they would leave in the first place. And those who come seeking asylum, we should immediately have the capacity to absorb them, keep them safe until they can be heard."
"333","DIAZ-BALART: Fifteen seconds, if you could, if you wish to answer. Should someone who is here without documents, and that is his only offense, should that person be deported?"
"334","BIDEN: That person should not be the focus of deportation. We should fundamentally change the way we deal with things."
"335","(APPLAUSE)"
"336","DIAZ-BALART: Senator..."
"337","(UNKNOWN): I think it's important..."
"338","SANDERS: I want to suggest that I agree with a lot of what Kamala just said. And that is, on day one, we take out our executive order pen and we rescind every damn thing on this issue that Trump has done."
"339","(APPLAUSE)"
"340","Number two, number two, picking up on the point that Joe made, we've got to look at the root causes. And you have a situation where Honduras, among other things, is a failing state. Massive corruption. You've got gangs who are telling families that if a 10-year-old does not join that gang, that family is going to be killed."
"341","What we have got to do on day one is invite the presidents and the leadership of Central America and Mexico together. This is a hemispheric problem that we have got to address."
"342","(APPLAUSE)"
"343","DIAZ-BALART: Thank you. Congressman Swalwell, what do you do?"
"344","SWALWELL: Day one?"
"345","DIAZ-BALART: No, if someone is here without documents, and that is their only offense, is that person to be deported?"
"346","SWALWELL: No. That person can be a part of this great American experience."
"347","(UNKNOWN): Exactly."
"348","SWALWELL: That person can contribute. My congressional district is one of the most diverse in America, and we see the benefits when people contribute and they become a part of the community and they're not in the shadow economy."
"349","Day one for me, families are reunited. This president, though, for immigrants, there's nothing he will not do to separate a family, cage a child, or erase their existence by weaponizing the census. And there is nothing that we cannot do in the courts and that I will not do as president to reverse that and to make sure that families always belong together."
"350","DIAZ-BALART: Senator Harris?"
"351","HARRIS: Well, thank you. I will say -- no, absolutely not, they should not be deported. And I actually -- this was one of the very few issues with which I disagreed with the administration, with whom I always had a great relationship and a great deal of respect."
"352","But on the secure communities issue, I was attorney general of California. I led the second-largest Department of Justice in the United States, second only to the United States Department of Justice, in a state of 40 million people."
"353","And on this issue, I disagreed with my president, because the policy was to allow deportation of people who by ICE's own definition were non-criminals. So as attorney general, and the chief law officer of the state of California, I issued a directive to the sheriffs of my state that they did not have to comply with detainers, and instead should make decisions based on the best interests of public safety of their community."
"354","Because what I saw -- and I was tracking it every day -- I was tracking it and saw that parents, people who had not committed a crime, even by ICE's own definition, were being deported."
"355","And -- but I have to add a point here. The problem with this kind of policy -- and I know it as a prosecutor. I want a rape victim to be able to run in the middle of -- to run in the middle of the street and wave down a police officer and report the crime against her. I want anybody who has been the victim of any real crime..."
"356","DIAZ-BALART: Senator, Senator..."
"357","HARRIS: ... to be able to do that and not be afraid that if they do that, they will be deported, because the abuser will tell them it is they who is the criminal."
"358","(APPLAUSE)"
"359","It is wrong. It is wrong."
"360","HOLT: We're going to turn -- we're going to turn to the issue of trade now, if we can. Last night, we asked the candidates on this stage to name the greatest geopolitical threat facing the U.S. Four of them mentioned China. U.S. businesses say China steals our intellectual property and party leaders on both sides accuse China of manipulating their currency to keep the cost of goods artificially low."
"361","I want to ask this to Senator Bennet, to start off with. How would you stand up to China?"
"362","BENNET: Well, I think that, first of all, the biggest -- the biggest threat to our national security right now is Russia, not China. And, second, on China, we've got -- because of what they've done with our election."
"363","In China, I think the president has been right to push back on China, but has done it in completely the wrong way. We should mobilize the entire rest of the world, who all have a shared interest in pushing back on China's mercantilist trade policies, and I think we can do that."
"364","I'd like to answer the other question before this, as well."
"365","HOLT: You have the time..."
"366","BENNET: When I -- when I -- when I see these kids at the border, I see my mom, because I know she sees herself, because she was separated from her parents for years during the Holocaust in Poland. And for Donald Trump to be doing what he's doing to children and their families at the border -- I say this as somebody who wrote the immigration bill in 2013 that created a pathway to citizenship for 11 million people in this country -- that had the most progressive Dream Act that's ever been conceived, much less passed, and got 68 votes in the Senate -- that had $46 billion of border security in it that was sophisticated, 21st century border security, not a medieval wall..."
"367","HOLT: Senator, your time is expired."
"368","BENNET: ... and the president has turned the border of the United States into a symbol of nativist hostility..."
"369","HOLT: Senator, thank you..."
"370","BENNET: ... that the whole world is looking at, when what we should be represented by is the Statue of Liberty, which has brought my parents to this country to begin with. We need to make a change."
"371","(APPLAUSE)"
"372","HOLT: Mr. Yang, let me bring you in on this, on the issue of China. You have expressed a lot of concerns about technology and taking jobs. Are you worried about China? And if so, how would you stand up against it?"
"373","YANG: Well, I just want to agree that I think Russia is our greatest geopolitical threat, because they have been hacking our democracy successfully and they've been laughing their asses off about it for the last couple of years. So we should focus on that before we start worrying about other threats."
"374","Now, China, they do pirate our intellectual property. It's a massive problem. But the tariffs and the trade war are just punishing businesses and producers and workers on both sides."
"375","I met with a farmer in Iowa who said he spent six years building up a buying relationship in China that’s now disappeared and gone forever. And the beneficiaries have not been American workers or people in China. It’s been Southeast Asia and other producers that have then stepped into the void. So we need to crack down on Chinese malfeasance in the trade relationship, but the tariffs and the trade war are the wrong way to go."
"376","HOLT: All right, Mayor Buttigieg..."
"377","(CROSSTALK)"
"378","HOLT: How would you -- how would you stand up against China?"
"379","BUTTIGIEG: I mean, first of all, we've got to recognize that the China challenge really is a serious one. This is not something to dismiss or wave away. And if you look at what China is doing, they're using technology for the perfection of dictatorship."
"380","But their fundamental economic model isn't going to change because of some tariffs. I live in the industrial Midwest. Folks who aren't in the shadow of a factory are somewhere near a soy field where I live. And manufacturers, and especially soy farmers, are hurting."
"381","Tariffs are taxes. And Americans are going to pay on average $800 more a year because of these tariffs. Meanwhile, China is investing so that they could soon be able to run circles around us in artificial intelligence. And this president is fixated on the China relationship as if all that mattered was the export balance on dishwashers. We've got a much bigger issue on our hands."
"382","But at a moment when their authoritarian model is being held up as an alternative to ours because ours looks so chaotic compared to theirs right now because of our internal divisions, the biggest thing we've got to do is invest in our own domestic competitiveness. If we disinvest..."
"383","HOLT: All right, Mayor, thank you."
"384","BUTTIGIEG: ... in our own infrastructure, education, we are never going to be able to compete. And if we really want to be an alternative, a democratic alternative, we actually have to demonstrate that we care about democratic values at home and around the world."
"385","HOLT: Thank you for your answer."
"386","(APPLAUSE)"
"387","GUTHRIE: We've got a good debate so far. We're going to take a quick break here, candidates. When we come back, the questioning continues with our colleagues. Chuck Todd, Rachel Maddow will be here. Much more with our candidates straight ahead."
"388","(COMMERCIAL BREAK)"
"389","HOLT: Welcome back to the Democratic Presidential Debate from the Arsht Center in Miami."
"390","GUTHRIE: As we continue the questioning, we want to bring in more members of our team."
"391","DIAZ-BALART: So let's turn it over to Chuck Todd and Rachel Maddow."
"392","(APPLAUSE)"
"393","TODD: Well, Rachel, I had a dream that we have done this before."
"394","MADDOW: No."
"395","TODD: No."
"396","MADDOW: No."
"397","TODD: No. Didn't happen."
"398","MADDOW: This is definitely the first time."
"399","TODD: Definitely first time."
"400","Thank you, Lester, Savannah and Jose."
"401","Let's quickly recap the rules one more time. Twenty candidates qualified for this first debate. We've heard from 10 of them from last night. We're hearing from 10 more tonight. The breakdown for each night was selected at random. The candidates will have 60 seconds to answer direct questions, 30 seconds for follow-ups, if necessary."
"402","MADDOW: Because of this large field of candidates, not every person will be able comment on everything, but the less audience reaction there is, the more time they will all get."
"403","(APPLAUSE)"
"404","Over the course of the next hour, we will hear from all of these candidates, but we are going to begin this hour with Mayor Buttigieg."
"405","In the last five years, civil rights activists in our country have led a national debate over race and the criminal justice system. Your community of South Bend, Indiana, has recently been in uproar over an officer-involved shooting. The police force in South Bend is now 6 percent black in a city that is 26 percent black."
"406","Why has that not improved over your two terms as mayor?"
"407","BUTTIGIEG: Because I couldn't get it done. My community is in anguish right now because of an officer-involved shooting, a black man, Eric Logan, killed by a white officer. And I'm not allowed to take sides until the investigation comes back. The officer said he was attacked with a knife, but he didn't have his body camera on. It's a mess. And we're hurting."
"408","And I could walk you through all of the things that we have done as a community, all of the steps that we took, from bias training to de-escalation, but it didn't save the life of Eric Logan. And when I look into his mother's eyes, I have to face the fact that nothing that I say will bring him back."
"409","This is an issue that is facing our community and so many communities around the country. And until we move policing out from the shadow of systemic racism, whatever this particular incident teaches us, we will be left with the bigger problem of the fact that there is a wall of mistrust put up one racist act at a time, not just from what's happened in the past, but from what's happening around the country in the present. It threatens the well-being of every community."
"410","And I am determined to bring about a day when a white person driving a vehicle and a black person driving a vehicle, when they see a police officer approaching, feels the exact same thing..."
"411","MADDOW: Mr. Mayor..."
"412","BUTTIGIEG: ... a feeling not of fear but of safety. I am determined to bring that day about."
"413","MADDOW: Thank you, Mr. Mayor."
"414","HICKENLOOPER: Mayor Buttigieg -- Mayor Buttigieg, if I could..."
"415","(APPLAUSE)"
"416","HICKENLOOPER: ... if I could have one question, just because I think..."
"417","MADDOW: Governor, I'll give you 30 seconds."
"418","HICKENLOOPER: I think that the question they're asking in South Bend and I think across the country is why has it taken so long?"
"419","We had a shooting when I first became mayor, 10 years before Ferguson. And the community came together and we created an Office of the Independent Monitor, a Civilian Oversight Commission, and we diversified the police force in two years. We actually did de-escalation training."
"420","I think the real question that America should be asking is why, five years after Ferguson, every city doesn't have this level of police accountability."
"421","MADDOW: Governor Hickenlooper, thank you."
"422","(APPLAUSE)"
"423","BUTTIGIEG: I've got to respond to that. Look, we have taken so many steps toward police accountability that, you know, the FOP just denounced me for too much accountability. We're obviously not there yet, and I accept responsibility for that because I'm in charge."
"424","SWALWELL: If the camera wasn't on and that was the policy, you should fire the chief."
"425","BUTTIGIEG: So under Indiana law, this will be investigated and there will be accountability for the officer involved."
"426","SWALWELL: But you're the mayor. You should fire the chief -- if that's the policy and someone died."
"427","WILLIAMSON: All of these issues are extremely important, but they are specifics; they are symptoms. And the underlying cause has to do with deep, deep, deep realms of racial injustice, both in our criminal justice system and in our economic system. And the Democratic Party should be on the side of reparations for slavery for this very reason. I do not believe..."
"428","(APPLAUSE)"
"429","I do not believe that the average American is a racist, but the average American is woefully undereducated about the history of race in the United States."
"430","MADDOW: Ms. Williamson, thank you very much..."
"431","(CROSSTALK)"
"432","TODD: Vice President Biden -- I'm going to -- we're going to get to you..."
"433","HARRIS: As the only black person on this stage, I would like to speak..."
"434","TODD: I..."
"435","HARRIS: ... on the issue of race."
"436","(APPLAUSE)"
"437","MADDOW: Senator Harris..."
"438","HARRIS: And so what I will say..."
"439","MADDOW: If I could preface this, we will give you 30 seconds, because we're going to come back to you on this again in just a moment. But go for 30 seconds."
"440","HARRIS: OK. So on the issue of race, I couldn't agree more that this is an issue that is still not being talked about truthfully and honestly. I -- there is not a black man I know, be he a relative, a friend or a coworker, who has not been the subject of some form of profiling or discrimination."
"441","Growing up, my sister and I had to deal with the neighbor who told us her parents couldn't play with us because she -- because we were black. And I will say also that -- that, in this campaign, we have also heard -- and I'm going to now direct this at Vice President Biden, I do not believe you are a racist, and I agree with you when you commit yourself to the importance of finding common ground."
"442","But I also believe, and it's personal -- and I was actually very -- it was hurtful to hear you talk about the reputations of two United States senators who built their reputations and career on the segregation of race in this country. And it was not only that, but you also worked with them to oppose busing."
"443","And, you know, there was a little girl in California who was part of the second class to integrate her public schools, and she was bussed to school every day. And that little girl was me."
"444","So I will tell you that, on this subject, it cannot be an intellectual debate among Democrats. We have to take it seriously. We have to act swiftly. As attorney general of California, I was very proud to put in place a requirement that all my special agents would wear body cameras and keep those cameras on."
"445","(APPLAUSE)"
"446","MADDOW: Senator Harris, thank you. Vice President Biden, you have been invoked. We're going to give you a chance to respond."
"447","(APPLAUSE)"
"448","Vice President Biden?"
"449","(APPLAUSE)"
"450","BIDEN: It's a mischaracterization of my position across the board. I did not praise racists. That is not true, number one. Number two, if we want to have this campaign litigated on who supports civil rights and whether I did or not, I'm happy to do that."
"451","I was a public defender. I didn't become a prosecutor. I came out and I left a good law firm to become a public defender, when, in fact -- when, in fact..."
"452","(APPLAUSE)"
"453","... when, in fact, my city was in flames because of the assassination of Dr. King, number one."
"454","Number two, as the U.S. -- excuse me, as the vice president of the United States, I worked with a man who, in fact, we worked very hard to see to it we dealt with these issues in a major, major way."
"455","The fact is that, in terms of bussing, the bussing, I never -- you would have been able to go to school the same exact way because it was a local decision made by your city council. That's fine. That's one of the things I argued for, that we should not be -- we should be breaking down these lines."
"456","But so the bottom line here is, look, everything I have done in my career, I ran because of civil rights, I continue to think we have to make fundamental changes in civil rights, and those civil rights, by the way, include not just only African-Americans, but the LGBT community."
"457","(APPLAUSE)"
"458","HARRIS: But, Vice President Biden, do you agree today -- do you agree today that you were wrong to oppose bussing in America then? Do you agree?"
"459","BIDEN: I did not oppose bussing in America. What I opposed is bussing ordered by the Department of Education. That's what I opposed. I did not oppose..."
"460","HARRIS: Well, there was a failure of states to integrate public schools in America. I was part of the second class to integrate Berkeley, California, public schools almost two decades after Brown v. Board of Education."
"461","BIDEN: Because your city council made that decision. It was a local decision."
"462","HARRIS: So that's where the federal government must step in."
"463","BIDEN: The federal government..."
"464","HARRIS: That's why we have the Voting Rights Act and the Civil Rights Act."
"465","(APPLAUSE)"
"466","That's why we need to pass the Equality Act. That's why we need to pass the ERA, because there are moments in history where states fail to preserve the civil rights of all people."
"467","BIDEN: I've supported the ERA from the very beginning when I ran for..."
"468","TODD: Vice President Biden, 30 seconds, because I want to bring other people into this."
"469","BIDEN: I supported the ERA from the very beginning. I'm the guy that extended the Voting Rights Act for 25 years. We got to the place where we got 98 out of 98 votes in the United States Senate doing it. I've also argued very strongly that we, in fact, deal with the notion of denying people access to the ballot box. I agree that everybody, once they, in fact -- anyway, my time is up. I'm sorry."
"470","TODD: Thank you, Vice President."
"471","HARRIS: All of these things have to do..."
"472","TODD: Senator Sanders, Senator Sanders, I'm going to go to you on this. You said on the day you launched your campaign that voters should focus on what people stand for, not a candidate's race or age or sexual orientation."
"473","Many Democrats are very excited by the diversity of this field on this stage and on last night's stage and the perspective that diversity brings to this contest and to these issues."
"474","SANDERS: Absolutely."
"475","TODD: Are you telling Democratic voters that diversity shouldn't matter when they make this decision?"
"476","SANDERS: No, absolutely not. Unlike the Republican Party, we encourage diversity, we believe in diversity. That's what America is about."
"477","But in addition to diversity, in terms of having more women, more people from the LGBT community, we also have to do something else. And that is, we have to ask ourselves a simple question, in that how come today the worker in the middle of our economy is making no more money than he or she made 45 years ago, and that in the last 30 years, the top 1 percent has seen a $21 trillion increase in their wealth?"
"478","We need a party that is diverse, but we need a party that has the guts to stand up to the powerful special interests who have so much power over the economic and political life of this country."
"479","TODD: Senator Gillibrand, I want to give you 30 seconds on this."
"480","GILLIBRAND: Well, first of all, where Bernie left off, we've heard a lot of good ideas on this stage tonight and a lot of plans, but the truth is, until you go to the root of the corruption, the money in politics, the fact that Washington is run by the special interests, you are never going to solve any of these problems."
"481","I have the most comprehensive approach, that experts agree is the most transformative plan to actually take on political corruption, to get money out of politics through publicly funded elections, to have clean elections. If we do that and get money out of politics, we can guarantee health care as a right, not a privilege, we can deal with institutional racism, we can take on income inequality, and we can take on the corporate corruption that runs Washington."
"482","(APPLAUSE)"
"483","BIDEN: And the first constitutional amendment to do that was introduced by me when I was young senator."
"484","TODD: Thank you, Vice President. We want to shift topics here. Senator Bennet, the next question is for you."
"485","On the issue of partisan gridlock, President Obama promised in 2012 that after his reelection, Republicans would want to work with Democrats, fever would break. That did not happen. Now Vice President Biden is saying the same thing, that if he is elected in 2020, both parties will want to work together."
"486","Should voters believe that somehow if there is a Democratic president in 2021 that gridlock is going to magically disappear?"
"487","BENNET: Gridlock will not magically disappear as long as Mitch McConnell is there, first."
"488","(APPLAUSE)"
"489","Second, second, second, that’s why it is so important for us to win not just the presidency, to have somebody that can run in all 50 states, but to win the Senate, as well. And that’s why we have to propose policies that can be supported, like Medicare act, so that we can build a broad coalition of Americans to overcome broken Washington, D.C. I agree with what Senator Gillibrand was saying. I share a lot of her views."
"490","We need to end gerrymandering in Washington. We need to end political gerrymandering in Washington."
"491","(APPLAUSE)"
"492","The court today said they couldn't do anything about it. We need to overturn Citizens United. The court was the one that gave us Citizens United. And the attack on voting rights in Shelby v. Holder is something we need to deal with."
"493","All of those things has happened since Vice President Biden was in the Senate. And we face structural problems that we have to overcome with a broad coalition. It's the only way we can do it. We need to root out the corruption in Washington, expand people's right to get to the polls, and I think then we can succeed."
"494","TODD: Time's up. Vice President Biden, 30 seconds. What -- it does sound as if you haven't seen what's been happening in the United States Senate over the last 12 years. It didn't happen. Why?"
"495","BIDEN: I have seen what happened. Just since we were vice president, we needed three votes to pass an $800 billion Recovery Act that kept us from going into depression. I got three votes changed."
"496","We needed to be able to keep the government from shutting down and going bankrupt. I got Mitch McConnell to raise taxes $600 billion by raising the top rate. And as recently as after president got elected, I was able to put together a coalition of the Cures Act to have billions of dollars go into cancer research, bipartisan."
"497","But sometimes you can't do that. Sometimes you just have to go out and beat them. I went into 20 states, over 60 candidates, and guess what? We beat them, and we won back the Senate."
"498","TODD: Thank you."
"499","BENNET: Chuck, the problem with what the vice president..."
"500","TODD: Go ahead, 30 seconds."
"501","(APPLAUSE)"
"502","BENNET: The problem with what..."
"503","TODD: Yeah, 30 seconds. Go ahead."
"504","BENNET: Sometimes you do have to beat them, but -- but the deal that he talked about with Mitch McConnell was a complete victory for the Tea Party. It extended the Bush tax cuts permanently. The Democratic Party had been running against that for 10 years."
"505","We lost that economic argument, because that deal extended almost all those Bush tax cuts permanently and put in place the mindless cuts that we still are dealing with today that are called the sequester. That was a great deal for Mitch McConnell."
"506","BIDEN: Oh, come on."
"507","BENNET: It was a terrible deal for America."
"508","(CROSSTALK)"
"509","TODD: Thank you, Senator. Thank you, Senator Bennet."
"510","GILLIBRAND: And you heard..."
"511","TODD: Go ahead, 30 seconds."
"512","GILLIBRAND: You heard from the Republicans that the reason why the Trump tax cut had to be passed is because they had to pay back their donors. You heard it. They actually said those words. So the corruption in Washington is real, and it is something that makes every one of the plans we've heard about over the last several months impossible."
"513","And I have the most comprehensive approach to do it with clean elections, publicly funded elections, so we restore the power of our democracy into the hands of the voters, not into the Koch brothers."
"514","We were talking about issues. Imagine -- we’re in Florida -- imagine the Parkland kids having as much power in our democracy as the Koch brothers or the NRA."
"515","TODD: Thank you. Thank you, Senator Gillibrand."
"516","GILLIBRAND: Imagine their voices carrying farther and wider than anyone else because their voice is needed."
"517","(APPLAUSE)"
"518","TODD: Senator Gillibrand, I'm trying to get everybody in here."
"519","GILLIBRAND: And as president, it's the first thing I'm going to do..."
"520","TODD: Thank you."
"521","GILLIBRAND: ... because nothing else is possible, whether it's education or health care or ending institutional racism."
"522","TODD: Thank you very much."
"523","MADDOW: Senator Sanders, I'd like to put a different question to you. Roe v. Wade has been the law of the land since 1973. Now that there is a conservative majority on the Supreme Court, several Republican-controlled states have passed laws to severely restrict or even ban abortion. One of those laws could very well make it to the Supreme Court during your presidency, if you're elected president. What is your plan if Roe is struck down in the court while you're president?"
"524","SANDERS: Well, my plan, as somebody who believes for a start that a woman's right to control her own body is a constitutional right, that government and politicians should not infringe on that right, we will do everything we can to defend Roe versus Wade."
"525","(APPLAUSE)"
"526","Second of all, let me make a -- let me make a promise here. You ask about litmus tests. My litmus test is I will never appoint any, nominate any justice to the Supreme Court unless that justice is 100 percent clear he or she will defend Roe v. Wade."
"527","Third of all..."
"528","(APPLAUSE)"
"529","I do not believe in packing the court. We got a terrible 5-4 majority conservative court right now. But I do believe that constitutionally we have the power to rotate judges to other courts. And that brings in new blood into the Supreme Court and a majority, I hope, that will understand that a woman has the right to control her own body and the corporations cannot run the United States of America."
"530","(CROSSTALK)"
"531","MADDOW: Hold on, I'm going to give you 10 additional seconds because the question was..."
"532","SANDERS: I'm sorry?"
"533","MADDOW: ... what if the court has already overturned Roe and Roe is gone? All of the things you've just described would be to try to preserve Roe. If Roe is gone, what could you do as president to preserve abortion rights?"
"534","SANDERS: We will pass -- well, first of all, let me tell you this. It didn't come up here, but let's face this, Medicare for All guarantees every woman in this country the right to have an abortion if she wants it."
"535","MADDOW: Thank you, Senator."
"536","GILLIBRAND: And can I address this for a second? And I want to talk directly, directly to America's women and to the men who love them. Women's reproductive rights are under assault by President Trump and the Republican Party. Thirty states are trying to overturn Roe v. Wade right now."
"537","And it is mind-boggling to me that we are debating this on this stage in 2019 among Democrats whether women should have access to reproductive rights. I think we have to stop playing defense and start playing offense."
"538","But let me tell you one thing about politics, because it goes to the corruption and the deal-making. When the door is closed and negotiations are made, there are conversations about women's rights and compromises have been made on our backs. That's how we got to Hyde, that's how the Hyde Amendment was created, a compromise by leaders of both parties."
"539","Then we have the ACA. During the ACA negotiation, I had to fight like heck with other women to make sure that contraception wasn't sold down the river, or abortion services. And so what we need to know is imagine this one question. When we beat President Trump and Mitch McConnell walks into the Oval Office, God forbid, to do negotiations, who do you want when that door closes to be sitting behind that desk, to fight for women's rights?"
"540","I have been the fiercest advocate for women's reproductive freedom for over a decade. And I promise you as president when that door closes, I will guarantee women's reproductive freedom no matter what."
"541","MADDOW: Senator, thank you."
"542","TODD: Thank you."
"543","(APPLAUSE)"
"544","We are moving to climate. We are moving to climate, guys. Senator Harris, I'm addressing you first on this. You live in a state that has been hit by drought, wildfires, flooding. Climate change is a major concern for voters in your state, that's pretty obvious, obviously this state as well."
"545","Last night voters heard many of the candidates weigh in on their proposals. Explain specifically what yours is."
"546","HARRIS: Well, first of all, I don't even call it climate change. It's a climate crisis. It represents an existential threat to us as a species. And the fact that we have a president of the United States who has embraced science fiction over science fact will be to our collective peril."
"547","I visited, while the embers were smoldering, the wildfires in California. I spoke with firefighters who were in the midst of fighting a fire while their own homes were burning. And on this issue it is a critical issue that is about what we must do to confront what is immediate and before us right now."
"548","That is why I support a Green New Deal. It is why I believe on day one and as president will re-enter us in the Paris Agreement, because we have to take these issues seriously. And, frankly, we have a president of the United States, we talked about, you asked before what is the greatest national security threat to the United States?"
"549","It's Donald Trump."
"550","(APPLAUSE)"
"551","And I'm going to tell you why. And I'm going to tell you why. Because I agree, climate change represents an existential threat. He denies the science. You want to talk about North Korea, a real threat in terms of nuclear arsenal, but what does he do? He embraces Kim Jong-un, a dictator, for the sake of a photo op."
"552","Putin. You want to talk about Russia? He takes the word of the Russian president over the word of the American intelligence community when it comes to a threat to our democracy and our elections. These are the issues that are before us, Chuck."
"553","TODD: I hear you. Thank you, Senator Harris."
"554","(APPLAUSE)"
"555","Mayor Buttigieg, in your climate plan, if you are elected president, in your first term, how is this going to help farmers impacted by climate change in the Midwest?"
"556","BUTTIGIEG: Well, the reality is we need to begin adapting right away, but we also can't skip a beat on preventing climate change from getting even worse. It's why we need aggressive and ambitious measures. It's why we need to do a carbon tax and dividend."
"557","But I would propose we do it in a way that is rebated out to the American people in a progressive fashion so that most Americans are made more than whole."
"558","This isn't theoretical for us in South Bend, either. Parts of California are on fire. Right here in Florida, they're talking about sea level rise. Well, in Indiana I had to activate the emergency operations center of our city twice in less than two years. The first time was a 1,000-year flood and the next time was a 500-year flood."
"559","This is not just happening on the Arctic ice caps; this is happening in the middle of the country. And we've got to be dramatically more aggressive moving forward."
"560","Now, here's what very few people talk about. First of all, rural America can be part of the solution instead of being told they're part of the problem. With the right kind of soil management and other kind of investments, rural America could be a huge part of how we get this done."
